epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7515,2.28261,4.93125,2.13187,0.002,0.78571,0.02787,0.00687,2.20021,5.81568,2.14099,0.00026,0.00026,0.00026
2,176.034,2.0955,4.29993,1.96993,0.00206,0.80952,0.02379,0.0063,2.29745,5.88269,2.26542,0.000529308,0.000529308,0.000529308
3,260.854,1.97727,3.85415,1.89437,0.00164,0.64286,0.00485,0.00134,2.64672,6.27874,2.49122,0.000787528,0.000787528,0.000787528
4,342.761,2.12784,3.64635,1.9789,0.00164,0.64286,0.04414,0.02015,2.34729,5.9106,3.47147,0.00103466,0.00103466,0.00103466
5,424.611,2.23819,3.77166,2.06027,0.00152,0.59524,0.10619,0.04266,2.65283,5.45216,3.33643,0.0012707,0.0012707,0.0012707
6,504.005,2.08157,3.77701,1.98532,0.01704,0.09524,0.01322,0.00308,2.54941,21.2547,2.81496,0.00149566,0.00149566,0.00149566
7,585.446,2.22496,3.40335,1.99139,0.00918,0.30952,0.00636,0.00161,2.89745,44.6425,3.51355,0.00170953,0.00170953,0.00170953
8,667.474,2.19253,3.34745,2.03187,0.20787,0.16667,0.08614,0.02692,2.65512,7.99506,3.65397,0.0017228,0.0017228,0.0017228
9,750.01,2.20408,3.31146,2.03026,0.11048,0.21429,0.09601,0.03615,2.4853,4.47731,2.95128,0.0016832,0.0016832,0.0016832
10,831.587,2.06636,3.12743,1.98105,0.25758,0.28571,0.13594,0.04965,2.39402,7.54644,2.82522,0.0016436,0.0016436,0.0016436
11,914.664,2.13384,3.07156,1.98902,0.54382,0.28571,0.26778,0.10344,2.58617,4.62366,2.79708,0.001604,0.001604,0.001604
12,997.314,2.06592,2.89601,1.91157,0.56961,0.30952,0.33944,0.11273,2.33687,4.78409,2.61467,0.0015644,0.0015644,0.0015644
13,1079.79,2.02322,2.62741,1.87609,0.65603,0.21429,0.27209,0.11074,2.37673,5.26626,2.91209,0.0015248,0.0015248,0.0015248
14,1167.72,2.03214,2.88028,1.93967,0.00674,0.42857,0.00499,0.00193,2.078,68.647,2.4191,0.0014852,0.0014852,0.0014852
15,1311.47,1.98923,2.59364,1.89873,0.22846,0.21429,0.12216,0.04431,2.4087,4.81737,2.43113,0.0014456,0.0014456,0.0014456
16,1397.49,2.06055,2.5412,1.83793,0.47475,0.33333,0.31931,0.10098,2.34328,6.01245,2.54623,0.001406,0.001406,0.001406
17,1653.57,1.98243,2.58968,1.86631,0.38641,0.38095,0.28197,0.11041,2.07074,4.11192,2.46646,0.0013664,0.0013664,0.0013664
18,1737.26,1.90681,2.56653,1.80852,0.46737,0.38095,0.34051,0.11831,2.24331,4.98223,2.91971,0.0013268,0.0013268,0.0013268
19,2041.11,1.9725,2.5206,1.84186,0.57996,0.33333,0.41487,0.16234,2.16395,3.00727,2.51246,0.0012872,0.0012872,0.0012872
20,2124.97,1.85214,2.47316,1.84124,0.75029,0.38095,0.4762,0.16027,2.20408,3.00193,2.46702,0.0012476,0.0012476,0.0012476
21,2823.82,1.81758,2.39034,1.78281,0.9329,0.33118,0.40921,0.1386,2.15582,2.8088,2.30091,0.001208,0.001208,0.001208
22,2909.62,1.86716,2.36833,1.78635,0.90885,0.21429,0.26818,0.10096,2.31033,3.33279,2.34551,0.0011684,0.0011684,0.0011684
23,2994.16,1.93281,2.4542,1.84177,0.8395,0.2381,0.30611,0.11538,2.26849,3.46688,2.40747,0.0011288,0.0011288,0.0011288
24,3078.82,1.79112,2.24503,1.72858,0.36056,0.35714,0.3555,0.11152,2.43146,2.83638,2.42802,0.0010892,0.0010892,0.0010892
25,3164.06,1.88882,2.22392,1.80601,0.49609,0.5,0.45335,0.16432,2.20695,2.7041,2.30527,0.0010496,0.0010496,0.0010496
26,3246.68,1.8324,2.3268,1.77294,0.46642,0.42857,0.49557,0.19969,2.18706,2.37853,2.20903,0.00101,0.00101,0.00101
27,3339.52,1.73683,2.19597,1.71333,0.53897,0.38095,0.44561,0.17791,2.24013,2.48926,2.26218,0.0009704,0.0009704,0.0009704
28,3424.29,1.79318,2.36835,1.79663,0.67627,0.42857,0.50131,0.18186,2.12609,2.57759,2.15959,0.0009308,0.0009308,0.0009308
29,3760.15,1.69293,2.10008,1.6733,0.78417,0.38095,0.52161,0.2095,2.0788,2.3106,2.10371,0.0008912,0.0008912,0.0008912
30,3846.22,1.77627,2.17908,1.7121,0.73575,0.40476,0.54072,0.22293,2.00235,2.16582,2.06133,0.0008516,0.0008516,0.0008516
31,3929.4,1.70162,2.18286,1.70768,0.50519,0.33333,0.42859,0.18997,2.04134,2.29529,2.05178,0.000812,0.000812,0.000812
32,4015.84,1.7489,2.14899,1.71744,0.47341,0.51384,0.54364,0.23921,1.99628,2.09732,2.03415,0.0007724,0.0007724,0.0007724
33,4100.12,1.72092,2.08631,1.6953,0.50081,0.52555,0.4662,0.21148,1.93264,2.17584,1.97911,0.0007328,0.0007328,0.0007328
34,4208.55,1.69006,2.04488,1.65463,0.746,0.30952,0.49134,0.20103,1.96536,2.2077,2.01112,0.0006932,0.0006932,0.0006932
35,4292.61,1.69725,2.04488,1.65131,0.39754,0.5,0.43065,0.17708,1.96561,2.34616,2.11761,0.0006536,0.0006536,0.0006536
36,4377.19,1.63371,2.02473,1.61554,0.7808,0.42422,0.56486,0.23383,1.95732,2.16786,1.99908,0.000614,0.000614,0.000614
37,4461.43,1.67633,2.00503,1.65831,0.82798,0.42857,0.60056,0.25214,1.96374,2.05083,1.97481,0.0005744,0.0005744,0.0005744
38,4547.49,1.65828,1.9156,1.64286,0.71488,0.47619,0.57397,0.24546,1.91985,2.05101,1.96402,0.0005348,0.0005348,0.0005348
39,4630.32,1.67236,1.95183,1.63795,0.6152,0.53307,0.58632,0.25614,1.90544,1.99748,1.95242,0.0004952,0.0004952,0.0004952
40,4718.75,1.64541,1.96459,1.65184,0.55273,0.52973,0.54211,0.23714,1.90526,2.07798,1.96648,0.0004556,0.0004556,0.0004556
41,5083.91,1.63562,1.92447,1.64193,0.61526,0.53322,0.57482,0.26024,1.91551,2.07722,1.94517,0.000416,0.000416,0.000416
42,5175.14,1.55134,1.79724,1.6242,0.63422,0.61925,0.62885,0.26868,1.9711,2.02632,1.93009,0.0003764,0.0003764,0.0003764
43,7457.92,1.6256,1.82117,1.63576,0.73041,0.57143,0.64592,0.27334,1.97665,1.95335,1.97018,0.0003368,0.0003368,0.0003368
44,7560,1.51688,1.80681,1.60771,0.74617,0.59524,0.68344,0.27028,1.86019,1.97539,1.96743,0.0002972,0.0002972,0.0002972
45,7642.83,1.51828,1.73474,1.55913,0.70178,0.54762,0.66698,0.29944,1.79286,1.94835,1.93468,0.0002576,0.0002576,0.0002576
46,8401.34,1.50806,1.71054,1.6209,0.86972,0.47687,0.6767,0.30118,1.79715,1.89495,1.94441,0.000218,0.000218,0.000218
47,8481.7,1.47567,1.67249,1.54949,0.66931,0.57841,0.67073,0.29156,1.86009,1.88655,1.98183,0.0001784,0.0001784,0.0001784
48,9085.97,1.45317,1.67643,1.57509,0.68219,0.61905,0.68313,0.30882,1.81911,1.8583,1.93974,0.0001388,0.0001388,0.0001388
49,9167.06,1.41594,1.65828,1.53775,0.7693,0.55596,0.67956,0.29921,1.82782,1.82815,1.9382,9.92e-05,9.92e-05,9.92e-05
50,9249.17,1.53081,1.71852,1.62015,0.73897,0.54762,0.65284,0.29703,1.79748,1.80046,1.9094,5.96e-05,5.96e-05,5.96e-05
