epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.965,2.33787,6.36197,2.12068,0.00097,0.58442,0.00851,0.00178,1.61404,96.9338,1.39791,0.00064,0.00064,0.00064
2,306.909,2.27678,4.89117,2.11133,0.07269,0.05195,0.00784,0.00114,1.6249,91.923,1.81836,0.00128391,0.00128391,0.00128391
3,451.721,2.4725,4.72711,2.23762,0.00392,0.01299,0.00116,0.00036,1.99977,89.2826,3.51507,0.00191149,0.00191149,0.00191149
4,596.71,2.42379,4.62999,2.25466,0.03551,0.02597,0.00665,0.00114,1.97004,241.112,2.1786,0.00192575,0.00192575,0.00192575
5,739.443,2.41599,3.69882,2.34307,0.03254,0.06494,0.00977,0.00248,1.65881,81.4747,2.1446,0.001901,0.001901,0.001901
6,885.611,2.4364,3.49284,2.32295,0.0985,0.23377,0.1156,0.02936,1.53601,199.422,1.67003,0.00187625,0.00187625,0.00187625
7,1027.83,2.3071,3.39193,2.26303,0.30819,0.15584,0.14014,0.04303,1.48029,34.3706,1.68261,0.0018515,0.0018515,0.0018515
8,1173.5,2.30551,3.19476,2.21053,0.47907,0.20779,0.18393,0.06029,1.59956,34.8126,1.59035,0.00182675,0.00182675,0.00182675
9,1324.88,2.3514,3.06735,2.19053,0.32971,0.09596,0.1247,0.04251,1.52817,14.9553,1.54918,0.001802,0.001802,0.001802
10,1478.99,2.32773,2.98993,2.19418,0.11396,0.14286,0.07327,0.02252,1.44987,11.4431,1.40568,0.00177725,0.00177725,0.00177725
11,1639.4,2.21351,2.97573,2.06754,0.29238,0.23377,0.22229,0.06902,1.36843,13.5082,1.42638,0.0017525,0.0017525,0.0017525
12,1788.38,2.21422,2.95076,2.16137,0.34777,0.20779,0.15526,0.07128,1.34475,51.4192,1.4151,0.00172775,0.00172775,0.00172775
13,1930.27,2.10965,2.7181,2.06704,0.38141,0.31169,0.29999,0.13523,1.35584,12.5012,1.39022,0.001703,0.001703,0.001703
14,2072.01,2.24064,2.7632,2.1734,0.41707,0.31169,0.29815,0.11401,1.4295,10.7445,1.40524,0.00167825,0.00167825,0.00167825
15,2214.21,2.13985,2.70681,2.06944,0.31817,0.32468,0.27249,0.123,1.47391,30.8762,1.50205,0.0016535,0.0016535,0.0016535
16,2356.1,2.14308,2.74446,2.01445,0.53933,0.06114,0.11497,0.0398,1.7089,11.2094,1.51143,0.00162875,0.00162875,0.00162875
17,2498.06,2.09796,2.55974,2.06768,0.7144,0.2987,0.31671,0.16456,1.30441,20.2599,1.38513,0.001604,0.001604,0.001604
18,2643.28,2.07901,2.68242,2.04122,0.5898,0.2987,0.36329,0.16229,1.3592,6.99024,1.40856,0.00157925,0.00157925,0.00157925
19,2786.8,2.12796,2.65561,2.08166,0.6837,0.37662,0.38881,0.17146,1.37754,22.2393,1.38332,0.0015545,0.0015545,0.0015545
20,2942.25,2.00953,2.46233,1.95226,0.53986,0.33766,0.39702,0.1659,1.33256,10.6805,1.35596,0.00152975,0.00152975,0.00152975
21,3128.08,2.08364,2.68123,1.97276,0.62984,0.35065,0.42738,0.20298,1.30165,3.86019,1.30391,0.001505,0.001505,0.001505
22,3315.09,2.05085,2.46994,1.98888,0.55264,0.23377,0.27788,0.12273,1.36729,4.58654,1.37343,0.00148025,0.00148025,0.00148025
23,3493.21,1.99518,2.46136,1.95567,0.72817,0.27273,0.36231,0.16615,1.4273,5.59157,1.45863,0.0014555,0.0014555,0.0014555
24,3659.32,1.8852,2.34323,1.88306,0.60962,0.12987,0.15816,0.07061,1.5316,9.34672,1.53034,0.00143075,0.00143075,0.00143075
25,3825.33,1.96903,2.50161,1.95451,0.69213,0.438,0.47022,0.21481,1.452,6.02354,1.54415,0.001406,0.001406,0.001406
26,3991.42,2.0321,2.31219,2.03476,0.73506,0.36038,0.43717,0.20352,1.35028,8.61442,1.36546,0.00138125,0.00138125,0.00138125
27,4158.64,1.94981,2.23218,1.95396,0.76809,0.36364,0.43679,0.21319,1.28411,5.48768,1.30316,0.0013565,0.0013565,0.0013565
28,4331.07,1.97809,2.42253,1.96277,0.61236,0.35065,0.41969,0.21436,1.32798,4.10985,1.36806,0.00133175,0.00133175,0.00133175
29,4507.35,1.93631,2.22213,1.86716,0.88883,0.36364,0.46908,0.2237,1.33474,4.26312,1.34584,0.001307,0.001307,0.001307
30,4688.75,1.95229,2.23455,1.90224,0.44541,0.35065,0.30959,0.13933,1.37662,5.05806,1.39616,0.00128225,0.00128225,0.00128225
31,4856.27,1.85603,2.24133,1.84736,0.77366,0.35522,0.45764,0.23729,1.37593,5.12294,1.37268,0.0012575,0.0012575,0.0012575
32,5033.14,1.90914,2.18479,1.92253,0.7746,0.33766,0.43505,0.21835,1.22568,3.02575,1.26771,0.00123275,0.00123275,0.00123275
33,5211.6,1.90431,2.3462,1.91571,0.46777,0.42857,0.42087,0.20432,1.38653,2.81811,1.44066,0.001208,0.001208,0.001208
34,5376.93,1.85611,2.16441,1.84073,0.79168,0.33766,0.44991,0.24423,1.22014,4.62987,1.25547,0.00118325,0.00118325,0.00118325
35,5543.06,1.80427,2.1928,1.83939,0.71241,0.41827,0.48676,0.26205,1.22027,3.54817,1.2633,0.0011585,0.0011585,0.0011585
36,5708.58,1.87616,2.28953,1.90084,0.7024,0.39854,0.45977,0.21662,1.26924,3.89687,1.32132,0.00113375,0.00113375,0.00113375
37,5874.21,1.75323,2.07722,1.80997,0.87645,0.4026,0.54513,0.28386,1.2292,3.03415,1.27717,0.001109,0.001109,0.001109
38,6039.56,1.77844,2.02576,1.76352,0.56406,0.50649,0.55034,0.26777,1.26475,2.5501,1.28441,0.00108425,0.00108425,0.00108425
39,6206.87,1.72232,1.9289,1.74241,0.37775,0.42857,0.39415,0.17164,1.28318,2.46463,1.32282,0.0010595,0.0010595,0.0010595
40,6369.9,1.80173,2.05352,1.84911,0.76405,0.42063,0.52582,0.27978,1.26995,3.92502,1.30992,0.00103475,0.00103475,0.00103475
