epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.816,2.31537,4.39551,2.14504,0.00224,0.67308,0.03534,0.00892,2.54547,5.53617,2.27192,0.00024,0.00024,0.00024
2,223.628,2.08483,3.6752,1.92086,0.00231,0.69231,0.10142,0.03148,2.36941,5.11756,2.29996,0.000493813,0.000493813,0.000493813
3,283.865,2.07193,3.63315,1.89903,0.00295,0.88462,0.14642,0.06853,2.15526,4.73095,2.14992,0.00074119,0.00074119,0.00074119
4,344.061,2.02158,3.48377,1.89225,0.0025,0.75,0.02223,0.00464,2.35682,4.86191,2.75884,0.000982133,0.000982133,0.000982133
5,403.99,2.10628,3.36717,1.89604,0.01634,0.09615,0.00993,0.00253,2.50532,5.38465,2.74371,0.00121664,0.00121664,0.00121664
6,463.448,2.16772,3.52425,1.95515,0.02518,0.05769,0.01705,0.00416,2.46426,4.99005,2.7916,0.00144471,0.00144471,0.00144471
7,523.26,2.09487,3.25232,2.0493,0.34599,0.07692,0.08673,0.0332,2.58389,6.46674,3.30285,0.00166635,0.00166635,0.00166635
8,582.45,2.1071,3.03226,1.98422,0.00933,0.21154,0.00771,0.00253,2.37315,14.2172,2.80485,0.00182675,0.00182675,0.00182675
9,641.492,2.14128,3.0851,1.94607,0.0967,0.17308,0.03305,0.00873,2.468,5.02478,2.69149,0.001802,0.001802,0.001802
10,700.342,2.01343,2.85769,1.90556,0.22585,0.19231,0.09901,0.04125,2.44796,5.34018,2.87236,0.00177725,0.00177725,0.00177725
11,759.725,2.11521,2.89036,1.95554,0.05392,0.23077,0.05522,0.01821,2.41936,4.31053,2.59932,0.0017525,0.0017525,0.0017525
12,817.398,2.0386,2.77008,1.91809,0.27356,0.32692,0.15267,0.05366,2.32264,5.23065,2.46384,0.00172775,0.00172775,0.00172775
13,876.867,2.00297,2.69437,1.8813,0.1842,0.15385,0.06706,0.02455,2.24517,4.30523,2.34488,0.001703,0.001703,0.001703
14,935.788,1.97607,2.65336,1.91485,0.29391,0.33629,0.26067,0.11915,2.11481,3.88189,2.34906,0.00167825,0.00167825,0.00167825
15,993.326,2.01912,2.64109,1.97622,0.21597,0.25,0.13539,0.06295,2.0872,3.64358,2.38,0.0016535,0.0016535,0.0016535
16,1051.91,2.02557,2.56725,1.90116,0.51157,0.19231,0.23353,0.11501,2.15254,3.32661,2.33568,0.00162875,0.00162875,0.00162875
17,1110.9,1.94762,2.64331,1.89081,0.29335,0.19231,0.21075,0.10274,2.11108,3.67054,2.31797,0.001604,0.001604,0.001604
18,1170.17,1.84554,2.36906,1.83768,0.90784,0.18967,0.24475,0.09879,1.96137,4.15554,2.19023,0.00157925,0.00157925,0.00157925
19,1229.39,1.94302,2.459,1.92519,0.39357,0.34615,0.32303,0.16547,1.94766,3.34073,2.21995,0.0015545,0.0015545,0.0015545
20,1290.04,1.95126,2.45205,1.88426,0.69683,0.19231,0.26824,0.11513,2.00346,2.88914,2.21319,0.00152975,0.00152975,0.00152975
21,1371.55,1.92912,2.42567,1.85126,0.38269,0.26923,0.30582,0.10944,1.92958,2.92772,2.14653,0.001505,0.001505,0.001505
